K_dl	K_zld	K_cic	K_sna	K_vnd	a_dl	a_zld	a_cic	a_sna	a_vnd	q_btm	w_dl.zld	Beta	Cic_att
5.19948	0.106233	5.20756	3767.44	0.0501179	0.99006	5.7802	6.1701e-05	0.581793	0.00186406	0.00941449	0.995466	24.8132	7.48835
0.0696841	0.332464	5.40327	2041.68	0.670583	1.37281	9.95755	0.000404095	0.50001	0.000149468	0.0013892	71.0102	6.06001	6.83885
0.0194115	1.51449	7.12594	970.004	1.61025	1.53391	6.97441	0.00126904	0.40211	0.00401122	0.00126464	93.5426	2.13765	6.0614
2.79663	0.332728	4.98318	1395.65	1.83987	4.13653	8.27853	0.00505882	0.369161	0.0146148	0.00209841	19.4705	2.8603	7.903
7.27846	0.0691706	4.00229	306.936	2.2156	1.64483	9.45905	0.0444941	0.00959498	0.092161	0.00193508	99.2364	19.3255	7.56701
0.687147	0.194394	3.21408	235.271	2.81598	5.31579	7.22079	1.47705e-05	0.00947174	0.00334188	0.00171518	74.2207	15.3998	5.55213
0.0275664	0.796133	6.2708	1202.14	1.83146	5.76058	7.14661	0.00247505	0.38385	0.00401573	0.00292245	97.3499	2.37055	5.92811
0.552909	0.132119	4.88527	1717.88	0.869351	3.44357	6.50804	5.41683e-05	0.445933	0.00338405	0.00478565	20.7341	24.4237	7.49827
0.604631	0.0688459	5.20256	1175.63	0.699232	1.02196	8.18337	3.17928e-05	0.416168	0.0316618	0.00998875	26.6847	24.0539	7.23542
0.073885	0.0995335	5.50358	3262.97	44.1349	3.57029	9.89346	0.000216566	0.354885	0.987235	0.00555514	9.06913	17.1953	7.64909
0.121866	0.190159	5.65608	271.789	1.63404	9.97574	9.99223	0.033491	0.0107948	0.00494196	0.00505423	12.4473	6.79017	6.32935
0.48214	0.0862694	6.46593	6050.73	0.185294	3.89056	5.86391	0.0450554	0.501022	0.0621749	0.00858464	97.7764	14.4319	10.8339
0.083124	0.199472	5.94206	1136.45	0.0869282	2.17843	9.4075	0.00323645	0.15921	0.0358136	0.0026159	27.9876	9.31753	8.53108
7.57731	0.161223	5.4981	908.081	2.70958	1.66089	6.39663	0.0729619	0.0177819	0.51446	0.00185954	99.8714	11.3004	9.23582
0.261053	0.361283	4.13382	451.241	1.89291	5.01686	4.42329	0.00159647	0.203545	0.00178602	0.00209118	99.9988	19.3488	7.08747
0.109796	0.241819	4.99268	324.244	1.21433	2.41723	7.71437	9.44573e-05	0.0728077	0.000152437	0.00143661	48.6624	24.9963	6.59578
0.0381847	1.48529	6.15237	322.481	2.05382	4.12127	4.5919	1.08059e-05	0.036561	0.0208652	0.00595613	65.7514	2.49897	5.73783
8.6203	0.0786721	5.63272	3406.78	0.956444	3.01361	8.88425	0.018887	0.396885	0.0125673	0.00575916	41.935	4.36419	10.8873
0.219038	0.139683	7.23154	1485.34	0.110384	4.81504	9.49984	0.00209581	0.0256798	0.000205869	0.00588645	46.3128	5.68654	10.9186
0.0267899	0.167242	6.14855	715.456	1.4372	2.44297	8.87251	0.0226226	0.0946467	0.546072	0.00596319	99.9756	8.204	7.83395
3.72049	0.263484	4.46163	427.68	2.0025	2.39152	6.74863	0.0112936	0.203347	0.000761423	0.00409631	28.9968	4.91235	6.95167
1.15293	0.490091	5.97227	263.366	4.8238	4.56127	7.76618	0.00753069	0.0476231	0.000301317	0.00504453	75.2125	1.78406	4.7277
0.25834	0.241551	5.59247	669.295	1.25184	2.2975	6.05633	0.0196085	0.0181712	0.34743	0.00945952	34.4075	6.57505	7.56003
8.96126	0.13679	3.03216	1234.04	3.45465	4.20706	7.86139	0.00152848	0.255411	0.000164833	0.00402827	100	2.34798	5.0556
4.6575	0.712436	8.30822	368.204	4.9719	1.20079	9.95875	0.00194416	0.265158	4.94405e-05	0.00358283	99.3261	1.66246	4.0875
0.988677	0.0684996	3.93833	421.334	2.09823	2.34423	9.97487	0.00491869	0.176866	0.00898387	0.0098642	98.3695	9.71098	6.75443
6.18573	0.0661108	3.45127	3364.29	1.40712	3.14322	9.77384	0.00500242	0.399792	0.00121138	0.00996005	67.4602	3.11175	7.55389
0.0327372	0.539937	5.99205	327.704	1.80225	4.11258	8.17021	0.00261125	0.00453499	0.11802	0.0027895	44.9843	3.03844	6.21525
0.0177663	0.225589	5.20729	1967.46	0.595549	3.2159	9.99548	0.00195353	0.505403	3.08037e-05	0.00204162	88.7854	9.49514	6.91214
2.34525	0.112027	7.66899	1718.22	1.1733	2.83983	7.93574	0.0822141	0.385943	0.00791882	0.00120144	79.571	21.2849	12.3285
0.0134544	1.3448	6.76413	1340.52	8.35724	5.13109	6.16256	0.00158402	0.187582	0.599236	0.00235525	84.3431	2.44402	5.92996
8.62283	0.0799563	9.65311	981.584	1.97099	3.81192	9.16669	0.0777643	0.129276	0.0477269	0.00131835	78.3887	7.40207	14.5675
0.0387068	0.0593756	5.28975	3669	0.0365815	2.49976	9.98924	0.000924783	0.547592	0.291166	0.0078494	55.6887	24.4721	7.78392
0.125698	0.398088	6.3221	2294.89	164.954	1.49806	7.58658	0.000231894	0.041425	0.989384	0.00739815	78.0024	2.22713	7.5416
1.98226	0.0820908	4.14157	477.358	3.07386	3.54574	7.61965	0.00120756	0.101846	0.195166	0.00337019	99.6015	14.8926	8.41179
